;NIS;56.2\%;23.877;(16.240,17.289)
;NIS xy;39.5\%;10.677;(0.051,7.378)
;NIS range;75.6\%;8.408;(8.013,8.755)
;NIS bearing;57.1\%;13.873;(8.013,8.755)
