;NIS;20.0\%;6.804;(14.305,14.552)
;NIS;30.7\%;8.557;(0.051,7.378)
;NIS range;24.6\%;2.857;(7.127,7.302)
;NIS bearing;28.0\%;3.731;(7.127,7.302)
