;\sigma_\text{x};0.2
;\sigma_\text{y};0.2
;\sigma_r;0.5
;\alpha_\text{individual}; 10^{-7}
;\alpha_\text{joint}; 10^{-7}
;\sigma_\psi;0.25 \text{deg}
;\sigma_\theta;1.0 \text{deg}
